Header:
std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=7674, nanosec=489828461), frame_id='sensor_kit_base_link')
Fields:
sensor_msgs.msg.PointField(name='x', offset=0, datatype=7, count=1)
sensor_msgs.msg.PointField(name='y', offset=4, datatype=7, count=1)
sensor_msgs.msg.PointField(name='z', offset=8, datatype=7, count=1)
sensor_msgs.msg.PointField(name='intensity', offset=16, datatype=7, count=1)
sensor_msgs.msg.PointField(name='ring', offset=20, datatype=4, count=1)
sensor_msgs.msg.PointField(name='azimuth', offset=24, datatype=7, count=1)
sensor_msgs.msg.PointField(name='distance', offset=28, datatype=7, count=1)
sensor_msgs.msg.PointField(name='return_type', offset=32, datatype=2, count=1)
sensor_msgs.msg.PointField(name='time_stamp', offset=40, datatype=8, count=1)

Data:
Point(x=-55.36508, y=3.6773682, z=-0.9315282, intensity=100.0, ring=8, azimuth=0.0, distance=55.495533, return_type=0, time_stamp=0.0)
Point(x=-7.8648987, y=0.5499954, z=-2.0860112, intensity=100.0, ring=1, azimuth=0.0, distance=8.162223, return_type=0, time_stamp=0.0)
Point(x=-53.762817, y=3.7599773, z=0.97912306, intensity=100.0, ring=9, azimuth=0.0, distance=53.902363, return_type=0, time_stamp=0.0)
Point(x=-9.228638, y=0.64530563, z=-2.107813, intensity=100.0, ring=2, azimuth=0.0, distance=9.49451, return_type=0, time_stamp=0.0)
Point(x=-54.00296, y=3.7764091, z=2.877008, intensity=100.0, ring=10, azimuth=0.0, distance=54.209118, return_type=0, time_stamp=0.0)
Point(x=-11.114227, y=0.7771759, z=-2.1360402, intensity=100.0, ring=3, azimuth=0.0, distance=11.349873, return_type=0, time_stamp=0.0)
Point(x=-13.833618, y=0.9674187, z=-2.1652892, intensity=100.0, ring=4, azimuth=0.0, distance=14.04025, return_type=0, time_stamp=0.0)
Point(x=-18.351685, y=1.2833176, z=-2.2261896, intensity=100.0, ring=5, azimuth=0.0, distance=18.53462, return_type=0, time_stamp=0.0)
Point(x=-25.377716, y=1.7746658, z=-2.191676, intensity=100.0, ring=6, azimuth=0.0, distance=25.536854, return_type=0, time_stamp=0.0)
Point(x=-46.97516, y=3.2846088, z=-2.4323757, intensity=100.0, ring=7, azimuth=0.0, distance=47.154457, return_type=0, time_stamp=0.0)
Point(x=-53.810883, y=3.762455, z=-0.9045739, intensity=100.0, ring=8, azimuth=0.0, distance=53.95045, return_type=0, time_stamp=0.0)
Point(x=-7.8633423, y=0.5775032, z=-2.0861437, intensity=100.0, ring=1, azimuth=0.0, distance=8.162662, return_type=0, time_stamp=0.0)
Point(x=-52.29538, y=3.840435, z=0.9536713, intensity=100.0, ring=9, azimuth=0.0, distance=52.444195, return_type=0, time_stamp=0.0)
Point(x=-9.227142, y=0.67759323, z=-2.1079729, intensity=100.0, ring=2, azimuth=0.0, distance=9.495324, return_type=0, time_stamp=0.0)
Point(x=-52.341125, y=3.843666, z=2.7903872, intensity=100.0, ring=10, azimuth=0.0, distance=52.55408, return_type=0, time_stamp=0.0)
Point(x=-11.111969, y=0.8160324, z=-2.1361532, intensity=100.0, ring=3, azimuth=0.0, distance=11.350426, return_type=0, time_stamp=0.0)
Point(x=-13.831268, y=1.0158958, z=-2.1654353, intensity=100.0, ring=4, azimuth=0.0, distance=14.041374, return_type=0, time_stamp=0.0)
